index,patient_id,true_label,predicted_label,category,anomaly_score
0,BraTS2021_01467,0,0,TN,0.00026196375
1,BraTS2021_01467,0,0,TN,0.00053083996
2,BraTS2021_01468,0,0,TN,0.00071446097
3,BraTS2021_01468,0,0,TN,0.0006654153
4,BraTS2021_01468,0,0,TN,0.00056170777
5,BraTS2021_01468,0,0,TN,0.00062839745
6,BraTS2021_01468,0,0,TN,0.00074825156
7,BraTS2021_01468,0,0,TN,0.00095481623
8,BraTS2021_01468,0,0,TN,0.0007169172
9,BraTS2021_01468,0,0,TN,0.00074807147
10,BraTS2021_01469,0,0,TN,0.00036449317
11,BraTS2021_01469,0,0,TN,0.00031640902
12,BraTS2021_01469,0,0,TN,0.00030578137
13,BraTS2021_01469,0,0,TN,0.00039199647
14,BraTS2021_01469,0,0,TN,0.0004525952
15,BraTS2021_01469,0,0,TN,0.00038984028
16,BraTS2021_01470,0,0,TN,0.0012877288
17,BraTS2021_01470,0,0,TN,0.00087565696
18,BraTS2021_01470,0,0,TN,0.0008857891
19,BraTS2021_01470,0,0,TN,0.0009024745
20,BraTS2021_01470,0,0,TN,0.00078243343
21,BraTS2021_01470,0,0,TN,0.0009520731
22,BraTS2021_01471,0,0,TN,0.0019888799
23,BraTS2021_01471,0,0,TN,0.0016497475
24,BraTS2021_01472,0,0,TN,0.001632533
25,BraTS2021_01472,0,0,TN,0.0015192654
26,BraTS2021_01472,0,0,TN,0.0015172665
27,BraTS2021_01472,0,0,TN,0.0015326209
28,BraTS2021_01472,0,0,TN,0.00128461
29,BraTS2021_01472,0,0,TN,0.0012510449
30,BraTS2021_01472,0,0,TN,0.0013067828
31,BraTS2021_01472,0,0,TN,0.0011623652
32,BraTS2021_01472,0,0,TN,0.0011164475
33,BraTS2021_01472,0,0,TN,0.0012810065
34,BraTS2021_01473,0,0,TN,9.961851e-05
35,BraTS2021_01473,0,0,TN,6.6237815e-05
36,BraTS2021_01473,0,0,TN,6.7423396e-05
37,BraTS2021_01473,0,0,TN,7.3175135e-05
38,BraTS2021_01474,0,0,TN,0.00041171146
39,BraTS2021_01474,0,0,TN,0.00032355578
40,BraTS2021_01474,0,0,TN,0.00031396688
41,BraTS2021_01474,0,0,TN,0.00028150898
42,BraTS2021_01474,0,0,TN,0.00031984932
43,BraTS2021_01476,0,0,TN,0.0003004607
44,BraTS2021_01476,0,0,TN,0.00024450567
45,BraTS2021_01476,0,0,TN,0.00025242654
46,BraTS2021_01476,0,0,TN,0.00048554648
47,BraTS2021_01477,0,0,TN,0.0005506059
48,BraTS2021_01477,0,0,TN,0.00049976126
49,BraTS2021_01477,0,0,TN,0.00042214725
50,BraTS2021_01478,0,0,TN,0.00041929397
51,BraTS2021_01478,0,0,TN,0.00022727405
52,BraTS2021_01479,0,0,TN,0.0005336276
53,BraTS2021_01479,0,0,TN,0.0006379959
54,BraTS2021_01480,0,0,TN,0.00073894253
55,BraTS2021_01480,0,0,TN,0.00073004357
56,BraTS2021_01480,0,0,TN,0.00068369205
57,BraTS2021_01480,0,0,TN,0.00055578415
58,BraTS2021_01480,0,0,TN,0.00057484506
59,BraTS2021_01480,0,0,TN,0.0005496143
60,BraTS2021_01480,0,0,TN,0.0005281494
61,BraTS2021_01480,0,0,TN,0.0005212001
62,BraTS2021_01480,0,0,TN,0.00058551424
63,BraTS2021_01480,0,0,TN,0.0007435057
64,BraTS2021_01481,0,0,TN,0.0008671004
65,BraTS2021_01481,0,0,TN,0.001702532
66,BraTS2021_01481,0,0,TN,0.0011415476
67,BraTS2021_01481,0,0,TN,0.0015713243
68,BraTS2021_01482,0,0,TN,0.00047014043
69,BraTS2021_01482,0,0,TN,0.0004503836
70,BraTS2021_01483,0,0,TN,0.00041385763
71,BraTS2021_01483,0,0,TN,0.00040580783
72,BraTS2021_01483,0,0,TN,0.0004401947
73,BraTS2021_01484,0,0,TN,0.0009297419
74,BraTS2021_01484,0,0,TN,0.0014266726
75,BraTS2021_01485,0,0,TN,0.00084509456
76,BraTS2021_01485,0,0,TN,0.0012092344
77,BraTS2021_01485,0,0,TN,0.000695532
78,BraTS2021_01485,0,0,TN,0.0008971955
79,BraTS2021_01485,0,0,TN,0.0006514739
80,BraTS2021_01487,0,0,TN,0.00051838055
81,BraTS2021_01487,0,0,TN,0.00039947205
82,BraTS2021_01487,0,0,TN,0.00037891543
83,BraTS2021_01487,0,0,TN,0.0004134528
84,BraTS2021_01487,0,0,TN,0.00039118723
85,BraTS2021_01488,0,0,TN,0.0004310146
86,BraTS2021_01488,0,0,TN,0.00071004
87,BraTS2021_01488,0,0,TN,0.0010303075
88,BraTS2021_01488,0,0,TN,0.0009670681
89,BraTS2021_01488,0,0,TN,0.0009643902
90,BraTS2021_01488,0,0,TN,0.00086029153
91,BraTS2021_01489,0,0,TN,0.0011048001
92,BraTS2021_01490,0,0,TN,0.00052963133
93,BraTS2021_01490,0,0,TN,0.0007146486
94,BraTS2021_01491,0,0,TN,0.0013907275
95,BraTS2021_01491,0,0,TN,0.0018888481
96,BraTS2021_01492,0,0,TN,0.0005775928
97,BraTS2021_01492,0,0,TN,0.0006976655
98,BraTS2021_01492,0,0,TN,0.000791462
99,BraTS2021_01492,0,0,TN,0.0005381946
100,BraTS2021_01492,0,0,TN,0.00052535516
101,BraTS2021_01492,0,0,TN,0.0008155637
102,BraTS2021_01493,0,0,TN,0.0005613168
103,BraTS2021_01493,0,0,TN,0.0005839163
104,BraTS2021_01493,0,0,TN,0.00040753832
105,BraTS2021_01493,0,0,TN,0.0003121616
106,BraTS2021_01493,0,0,TN,0.00028870883
107,BraTS2021_01493,0,0,TN,0.00022898808
108,BraTS2021_01493,0,0,TN,0.00020308232
109,BraTS2021_01493,0,0,TN,0.00023295145
110,BraTS2021_01493,0,0,TN,0.0002409641
111,BraTS2021_01494,0,0,TN,0.00022389753
112,BraTS2021_01497,0,0,TN,0.00088312395
113,BraTS2021_01497,0,0,TN,0.0008881276
114,BraTS2021_01497,0,0,TN,0.0005722624
115,BraTS2021_01497,0,0,TN,0.0006332962
116,BraTS2021_01497,0,0,TN,0.0006286399
117,BraTS2021_01497,0,0,TN,0.0004284754
118,BraTS2021_01497,0,0,TN,0.00045633706
119,BraTS2021_01499,0,0,TN,0.0017189493
120,BraTS2021_01499,0,0,TN,0.0017134344
121,BraTS2021_01499,0,0,TN,0.0013238825
122,BraTS2021_01499,0,0,TN,0.00084877404
123,BraTS2021_01499,0,0,TN,0.0007889487
124,BraTS2021_01499,0,0,TN,0.00060358486
125,BraTS2021_01499,0,0,TN,0.00077304634
126,BraTS2021_01499,0,0,TN,0.0008738497
127,BraTS2021_01500,0,0,TN,0.0008473262
128,BraTS2021_01500,0,1,FP,0.0021508194
129,BraTS2021_01500,0,1,FP,0.0021584108
130,BraTS2021_01500,0,0,TN,0.0019033848
131,BraTS2021_01500,0,0,TN,0.0018858559
132,BraTS2021_01500,0,1,FP,0.002189647
133,BraTS2021_01500,0,1,FP,0.0023613349
134,BraTS2021_01500,0,0,TN,0.0017177801
135,BraTS2021_01500,0,0,TN,0.00116473
136,BraTS2021_01500,0,0,TN,0.001090486
137,BraTS2021_01501,0,0,TN,0.00027954034
138,BraTS2021_01501,0,0,TN,0.00023166998
139,BraTS2021_01501,0,0,TN,0.00022323895
140,BraTS2021_01501,0,0,TN,0.00024599262
141,BraTS2021_01501,0,0,TN,0.0001717783
142,BraTS2021_01502,0,0,TN,0.0013767276
143,BraTS2021_01503,0,0,TN,0.0015736497
144,BraTS2021_01503,0,0,TN,0.0019978322
145,BraTS2021_01503,0,0,TN,0.001861985
146,BraTS2021_01503,0,0,TN,0.001900993
147,BraTS2021_01504,0,1,FP,0.0022515235
148,BraTS2021_01504,0,0,TN,0.0018563999
149,BraTS2021_01505,0,0,TN,0.0017737092
150,BraTS2021_01505,0,0,TN,0.0018027776
151,BraTS2021_01505,0,1,FP,0.0026718515
152,BraTS2021_01506,0,0,TN,0.00087370654
153,BraTS2021_01507,0,0,TN,0.0005219965
